Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
1999,XXXVI,"The Indian Majority (Amendment) Bill, 1999 ",30/11/1999,10/12/1999,1/12/1999,NA,16/12/1999 33 of 1999,NA,Assented
1999,XLII,"The Special Protection Group (Amendment) Bill, 1999 ",12/3/1999,12/9/1999,12/3/1999,NA,16/12/1999 35 of 1999,NA,Assented
1999,XLI,"The Geographical Indications of Goods (Registration and Protection) Bill, 1999 ",12/3/1999,22/12/1999,16/12/1999,NA,30/12/1999 48 of 1999,NA,Assented
1999,V,"The Army & Air Force (Disposal of Private Property) Amendment Bill, 2000 ",25/02/1999,16/08/2000,26/07/2000,NA,25/08/2000 31 of 2000,NA,Assented
1999,XXXIII,"The Trade Marks Bill, 1999 ",12/1/1999,22/12/1999,16/12/1999,NA,30/12/1999 47 of 1999,NA,Assented
1998,XLVI,"The Immigration (Carriers Liability) Bill, 2000",23/12/1998,30/11/2000,24/11/2000,NA,12/11/2000 53 of 2000,NA,Assented
1998,XLIV,"The Patent (Amendment) Bill, 1999",16/12/1998,3/10/1999,22/12/1998,NA,26/03/1999 17 of 1999,NA,Assented
1998,XL,"The North-Eastern Council (Amendment) Bill, 1998",8/12/1998,12/11/2002,29/11/2002,NA,20/12/2002 68 of 2002,NA,Assented
1998,XIV,"The Narcotic Drugs and Psychotropic Substances (Amemdment) Bill, 2001",7/9/1998,3/7/2001,27/11/2000,NA,5/9/2001 9 of 2001,NA,Assented
1997,LI,"The Delhi Development Authority (Validation of Disciplinary Powers) Bill, 1998",14/08/1998,22/12/1998,12/3/1998,NA,1/8/1999 6 of 1999,NA,Assented
1998,XVI,"The Merchant Shipping (Second Amendment) Bill, 1998",4/8/1998,NA,21/12/1998,NA,22/06/1998 9 of 1998,NA,Assented
1998,XV,"The Foreigners (Amendment) Bill,1998.",28/07/1998,30/01/2004,5/7/2003,NA,20/02/2004 16 of 2004,NA,Assented
1998,VII,"The Representation of the People (Amendment) Bill, 1998",1/6/1998,10/6/1998,2/6/1998,NA,22/06/1998 12 of 1998,NA,Assented
1998,XXXI,"The Major Port Trusts (Amendment) Bill, 2000",12/2/1998,17/05/2000,5/10/2000,NA,6/9/2000 22 of 2000,NA,Assented
1998,VI,"The Merchant Shipping (Amendment) Bill, 1998",6/1/1998,6/10/1998,6/3/1998,NA,22/06/1998 9 of 1998,NA,Assented
1999,L,"The Code of Civil Procedure (Amendment) Bill, 1999 ",14/08/1997,20/12/1999,29/11/1999,NA,30/12/1999 46 of 1999,NA,Assented
1997,XLI,"The Indira Gandhi National Open University (Amendment) Bill, 1997",29/07/1997,13/08/1997,11/8/1997,NA,29/08/1997 32 of 1997,NA,Assented
1997,XXXVIII,"The Payment of Gratuity (Amendment) Bill, 1998",24/07/1997,6/10/1998,6/2/1998,NA,22/06/1998 11 of 1998,NA,Assented
1997,XLVI,"The Employees` Providend Fund and Miscellaneous Provisions (Amendment) Bill, 1998",8/7/1997,6/10/1998,6/1/1998,NA,22/06/1998 10 of 1998,NA,Assented
1997,IX,"The National Highways Laws (Amendment) Bill, 1997",3/5/1997,18/03/1997,3/11/1997,NA,25/03/1997 16 of 1997,NA,Assented
1997,XLII,"The Presidential and Vice-Presidential Elections (Amendment) Bill, 1997",8/4/1997,NA,NA,NA,29/08/1997 35 of 1997,NA,Assented
1997,XVI,"The National Commission for Safai Karamcharis (Amendment) Bill, 1997",15/03/1997,21/03/1997,18/03/1997,NA,25/03/1997 18 of 1997,NA,Assented
1997,XV,"The Port Laws (Amendment) Bill, 1997",15/03/1997,21/03/1997,18/03/1997,NA,25/03/1997 15 of 1997,NA,Assented
1997,XIV,"The Navy (Amendment) Bill, 2005",12/3/1997,4/5/2005,28/04/2005,NA,23/06/2005 23 of 2005,NA,Assented
1997,X,"The Lalit Kala Akadami (Taking Over of Management) Bill, 1997",24/02/1997,18/03/1997,3/10/1997,NA,25/03/1997 17 of 1997,NA,Assented
1996,LVI,"The Provisions of the Panchayats (Extension to the Scheduled Areas) Bill, 1996",12/11/1996,19/12/1996,12/12/1996,NA,24/12/1996 40 of 1996,NA,Assented
1996,XXXIV,"The Companies (Amendment) Bill, 1996",9/10/1996,19/12/1996,16/12/1996,NA,1/8/1997 5 of 1997,NA,Assented
1996,XVI,"The Industrial Disputes (Amendment) Bill, 1996",15/07/1996,1/8/1996,22/07/1996,NA,16/08/1996 24 of 1996,NA,Assented
1995,XXX,"The Arbitration and Concelliation Bill, 1996",16/05/1996,8/2/1996,22/07/1996,NA,16/08/1996 26 of 1996,NA,Assented
1995,LXX,"The Seamen`s Provident Fund (Amendment) Bill, 1997",23/12/1995,21/02/1997,12/3/1996,NA,28/05/1997 29 of 1997,NA,Assented
1995,LXXIII,"The Wakf Bill, 1995",27/08/1995,25/08/1995,29/05/1995,NA,22/11/1995 43 of 1995,NA,Assented
1995,LVIII,"The Apprentices (Amendment) Bill, 1996",25/08/1995,20/12/1996,12/4/1996,NA,1/8/1997 4 of 1997,NA,Assented
1995,LVI,"The Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya Bill, 1996",24/08/1995,19/12/1996,3/12/1996,NA,8/1/1997 3 of 1997,NA,Assented
1995,LIII,"The Maulana Azad National Urdu University Bill, 1996",24/08/1995,17/12/1996,27/11/1996,NA,1/8/1997 2 of 1997,NA,Assented
1995,LIV,"The Dock Workers (Regulation of Employment) (Inapplicablity to Major Ports) Bill, 1997",22/08/1995,23/07/1997,13/03/1997,NA,18/08/1997 31 of 1997,NA,Assented
1995,XLIX,"The Payment of Bonus (Amendment) Bill, 1995",31/07/1995,25/08/1995,8/8/1995,NA,30/08/1995 34 of 1995,NA,Assented
1995,LV,"The Sixth Schedule to the Constitution (Amendment) Bill, 1995",2/6/1995,26/08/1995,25/08/1995,NA,8/9/1995 41 of 1995,NA,Assented
1995,XXXI,"The Working Journalists and Other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions (Amendment) Bill, 1996",16/05/1995,9/12/1996,8/1/1996,NA,28/09/1996 34 of 1996,NA,Assented
1995,XXIII,"The Maternity Benefit (Amendment) Bill, 1995",2/5/1995,8/7/1995,6/1/1995,NA,17/08/1995 29 of 1995,NA,Assented
1995,III,"The Securities Laws (Amendment) Bill, 1995",14/02/1995,24/03/1995,21/03/1995,NA,25/03/1995 9 of 1995,NA,Assented
1995,II,"The Banking Companies (Acquisition and Transfer of Undertakings) (Amendment) Bill, 1995",14/02/1995,25/03/1995,20/03/1995,NA,25/03/1995 8 of 1995,NA,Assented
1995,I,"The Coal India (Regulation of Transfers and Validation) Bill, 2000",14/02/1995,29/11/2000,21/11/2000,NA,12/8/2000 45 of 2000,NA,Assented
1994,LXXXVIII,"The Assam University (Amendment) Bill, 1995",20/12/1994,6/1/1995,29/05/1995,NA,6/11/1995 25 of 1995,NA,Assented
1994,XXXVII,"The Institutes of Technology (Amendment) Bill, 1994",5/9/1994,13/05/1994,5/11/1994,NA,22/05/1994 35 of 1994,NA,Assented
1994,XXXVI,"The Babasaheb Bhimrao Ambedkar University Bill, 1994",5/9/1994,26/08/1994,25/08/1994,NA,30/09/1994 58 of 1994,NA,Assented
1994,LXVIII,"The Delhi Rent Bill, 1995",26/08/1994,6/3/1995,29/05/1995,NA,23/08/1995 33 of 1995,NA,Assented
1994,LXV,"The Indian Penal Code (Amendment) Bill, 1995",25/08/1994,24/05/1995,22/03/1995,NA,26/05/1995 24 of 1995,NA,Assented
1994,LXXXVI,"The Cotton Transport Repeal Bill, 1995",12/8/1994,30/03/1995,13/12/1995,NA,5/11/1995 19 of 1995,NA,Assented
1994,XL,"The Workmen`s Compensation (Amendment) Bill, 1995",13/06/1994,8/3/1995,31/05/1995,NA,19/08/1995 30 of 1995,NA,Assented
1994,XXXIX,"The Indian Boilers (Amendment) Bill, 2007 , As Passed by Rajyasabha , As Passed by both Houses",13/05/1994,30/11/2007,27/11/2007,NA,12/12/2007 49 of 2007,NA,Assented
1994,XXXV,"The Code of Criminal Procedure (Amendment) Bill, 2005",9/5/1994,9/5/2005,4/5/2005,NA,23/06/2005 25 of 2005,NA,Assented
1994,XXI,"The Punjab Gram Panchayat, Samities and Zilla Parishads (Chandigarh Repeal) Bill, 1994",21/04/1994,22/04/1994,22/04/1994,NA,23/04/1994 27 of 1994,NA,Assented
1994,XIV,"The Constitution (Seventy-Eighth Amendment) Bill, 1995",19/04/1994,26/08/1995,22/08/1995,NA,30/08/1995 00 of 1995,NA,Assented
1994,XI,"The Banking Regulation (Amendment) Bill, 1994",23/02/1994,17/03/1994,3/7/1994,NA,22/03/1994 20 of 1994,NA,Assented
1994,LIII,"The Motor Vehicle (Amendment) Bill, 1994",8/2/1994,23/08/1994,8/11/1994,NA,9/10/1994 54 of 1994,NA,Assented
1993,LXXXII,"The Anti Hijacking Bill, 1994",23/12/1993,14/06/1994,5/5/1994,NA,29/06/1994 39 of 1994,NA,Assented
1993,LXXXI,"The Railways (Amendment) Bill, 1994",20/12/1993,22/04/1994,23/02/1994,NA,26/04/1994 28 of 1994,NA,Assented
1993,LXXVIII,"The Merchant Shipping (Amendment) Bill, 1993",6/12/1993,14/12/1993,9/12/1993,NA,17/12/1993 68 of 1993,NA,Assented
1993,LXXIX,"The Kala-Shetra Foundation Bill, 1993",6/12/1993,22/12/1993,13/12/1993,NA,4/1/1994 6 of 1994,NA,Assented
1993,XXI,"The Coir Industry (Amendment) Bill, 1994",3/11/1993,13/05/1994,14/12/1993,NA,7/8/1994 41 of 1994,NA,Assented
1993,LXXIII,"The Wakf Bill, 1995",27/08/1993,25/08/1995,29/05/1995,NA,22/11/1995 43 of 1995,NA,Assented
1993,LXVIII,"The Cable Television Networks (Regulation) Bill, 1995",3/8/1993,15/03/1995,13/12/1994,NA,25/03/1995 7 of 1995,NA,Assented
1993,LXIII,"The Parliament (Prevention of Disqualification) Bill, 1993",29/07/1993,21/08/1993,18/08/1993,NA,27/08/1993 54 of 1993,NA,Assented
1993,LXII,"The Extradition (Amendment) Bill, 1993",29/07/1993,28/08/1993,24/08/1993,NA,4/9/1993 66 of 1993,NA,Assented
1993,LX,"The Prevention of Illicit Traffic in Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 1993",27/07/1993,21/08/1993,16/08/1993,NA,27/08/1993 53 of 1993,NA,Assented
1993,XXXI,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1993",27/04/1993,14/05/1993,28/04/1993,NA,22/05/1993 43 of 1993,NA,Assented
1993,XXX,"The Code of Criminal Procedure (Amendment) Bill, 1993",27/04/1993,5/7/1993,28/04/1993,NA,18/05/1993 40 of 1993,NA,Assented
1993,XV,"The Multimodal Transportation of Goods Bill, 1993",3/4/1993,23/03/1993,22/03/1993,NA,4/2/1993 28 of 1993,NA,Assented
1993,XXV,"The Consumer Protection (Amendment) Bill, 1993",31/03/1993,19/08/1993,8/5/1993,NA,27/08/1993 50 of 1993,NA,Assented
1993,XXIV,"The Employee`s Provident Fund and Miscellaneous Provisions (Amendment) Bill, 1996",29/03/1993,8/2/1996,31/07/1996,NA,16/08/1996 25 of 1996,NA,Assented
1993,XVIII,"The Madhya Pradesh State Legislature (Delegation of Powers) Bill, 1993",3/3/1993,30/03/1993,16/03/1993,NA,31/03/1993 9 of 1993,NA,Assented
1993,XVII,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1993",3/3/1993,16/03/1993,16/03/1993,NA,31/03/1993 8 of 1993,NA,Assented
1993,XVI,"The Rajasthan State Legislature (Delegation of Powers) Bill, 1993",3/3/1993,30/03/1993,16/03/1993,NA,31/03/1993 10 of 1993,NA,Assented
1993,XIX,"The Himachal Pradesh State Legislature (Delegation of Powers) Bill, 1993",3/3/1993,26/03/1993,16/03/1993,NA,30/03/1993 5 of 1993,NA,Assented
1993,XIV,"The National Commission for Backward Classes Bill, 1993",3/1/1993,26/03/1993,22/03/1993,NA,4/2/1993 27 of 1993,NA,Assented
1992,LX,"SAARC Convention (Suppression of Terrorism) Bill, 1993",20/08/1992,30/03/1993,26/11/1992,NA,26/04/1993 36 of 1993,NA,Assented
1992,LIX,"The Transplantation of Human Organ Bill, 1992",20/08/1992,14/06/1994,5/5/1993,NA,8/7/1994 42 of 1994,NA,Assented
1992,XLIV,"The Coal Mines (Nationalisation) Amendment Bill, 1993",15/07/1992,19/04/1993,21/07/1992,NA,6/9/1993 47 of 1993,NA,Assented
1992,XXVIII,"The Indo Tibetan Border Police Force Bill, 1992",3/6/1992,18/08/1992,21/07/1992,NA,9/1/1992 35 of 1992,NA,Assented
1992,XXXVI,"The Sick Industrial Companies (Special Provisions) Amendment Bill, 1993",14/05/1992,23/12/1993,20/08/1992,NA,1/2/1994 12 of 1994,NA,Assented
1992,XXIX,"The Public Premises (Eviction of Unauthorised Occupants) (Amendment) Bill, 1993",27/03/1992,16/07/1992,16/07/1992,NA,7/1/1994 7 of 1994,NA,Assented
1992,LXXVIII,"The Criminal Law (Amendment) Bill, 1993",12/3/1992,14/05/1993,28/04/1993,NA,22/05/1993 42 of 1993,NA,Assented
1992,LXXIV,"The Tezpur University Bill, 1993",12/3/1992,13/05/1993,24/04/1993,NA,27/05/1993 45 of 1993,NA,Assented
1992,XX,"The Rehabilitation Council of India Bill, 1992",6/3/1992,20/08/1992,16/07/1992,NA,1/9/1992 34 of 1992,NA,Assented
1992,LXXV,"The Central Laws (Extension to Arunachal Pradesh) Bill, 1993",1/2/1992,13/05/1993,28/04/1993,NA,27/05/1993 44 of 1993,NA,Assented
1992,LXXVII,"The Press Council (Amendment) Bill, 1994",12/1/1992,5/12/1994,21/11/1993,NA,6/3/1994 36 of 1994,NA,Assented
1991,XXIX,"The Representation of the People (Amendment) Bill, 1991",7/12/1991,8/9/1991,16/07/1991,NA,14/08/1991 31 of 1991,NA,Assented
1991,LXVI,"The Legal Services Authorities (Amendment) Bill, 1994",25/11/1991,8/4/1994,3/3/1992,NA,29/10/1994 59 of 1994,NA,Assented
1991,III,"The Wild Life (Protection) Amendment Bill, 1991",1/10/1991,16/09/1991,28/08/1991,NA,20/09/1991 59 of 1994,NA,Assented
1991,XXXI,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 1991",29/07/1991,14/08/1991,8/5/1991,NA,20/08/1991 36 of 1991,NA,Assented
1991,XXX,"The Consumer Protection (Amendment) Bill, 1991",24/07/1991,8/12/1991,8/1/1991,NA,16/08/1991 36 of 1991,NA,Assented
1991,XIV,"The Delhi High Court (Amendment) Bill, 1991",3/5/1991,20/12/1991,12/3/1991,NA,28/12/1991 60 of 1991,NA,Assented
1991,XLIX,"The Code of Criminal Procedure (Second Amendment) Bill, 1991",9/3/1991,17/09/1991,9/4/1991,NA,19/09/1991 43 of 1991,NA,Assented
1991,XXXII,"The Terrorist and Disruptive Activities (Prevention) Amendment Bill, 1991",8/2/1991,8/12/1991,8/6/1991,NA,16/08/1991 35 of 1991,NA,Assented
1990,LII,"The Family Court (Amendment) Bill, 1991",16/08/1990,20/12/1991,26/11/1991,NA,28/12/1991 59 of 1991,NA,Assented
1990,LVII,"The Reserve Bank of India (Second Amendment) Bill, 1991",9/6/1990,1/9/1991,27/12/1990,NA,25/01/1991 9 of 1991,NA,Assented
1990,XXIV,"The Beedi and Cigar Workers (Condition and Employment) Amendment Bill, 1993",30/05/1990,14/05/1993,27/04/1993,NA,22/05/1993 41 of 1993,NA,Assented
1990,XXIII,"The Indian Succession (Amendment) Bill, 1991",23/05/1990,12/5/1991,20/11/1991,NA,12/9/1991 51 of 1991,NA,Assented
1990,LVI,"The Indian Ports (Amendment) Bill, 1992",9/5/1990,21/07/1992,12/3/1991,NA,10/12/1992 23 of 1992,NA,Assented
1990,V,"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 1990",12/3/1990,29/05/1990,8/5/1990,NA,3/6/1990 15 of 1990,NA,Assented
1989,XIX,"The Criminal Law Amendment (Amending) Bill, 1990",8/1/1990,29/03/1990,22/12/1989,NA,17/04/1990 9 of 1990,NA,Assented
1989,XXI,"The Nagaland University Bill, 1989",18/08/1989,13/10/1989,10/11/1989,NA,20/10/1989 35 of 1989,NA,Assented
1989,XVI,"The Employees State Insurance (Amendment) Bill, 1989",24/07/1989,14/08/1989,31/07/1989,NA,23/08/1989 29 of 1989,NA,Assented
1989,XIII,"The Assam University Bill, 1989",5/5/1989,15/05/1989,11/5/1989,NA,23/05/1989 23 of 1989,NA,Assented
1988,LII,"The Central Industrial Security Force (Amendment) Bill, 1989",5/12/1988,11/5/1989,14/03/1989,NA,18/05/1989 20 of 1989,NA,Assented
1988,XXIII,"The Code of Criminal Procedure (Second Amendment) Bill, 1988",5/11/1988,13/05/1988,5/12/1988,NA,25/05/1988 32 of 1988,NA,Assented
1987,XLIV,"The Forest (Conservation) Amendment Bill, 1988",6/9/1988,13/12/1988,6/9/1988,NA,17/12/1988 69 of 1988,NA,Assented
1988,XLII,"The Auroville Foundation Bill, 1988",31/08/1988,9/5/1988,9/1/1988,NA,29/09/1988 54 of 1988,NA,Assented
1988,XLI,"The Benami Transactions (Prohibition) Bill, 1988",31/08/1988,9/2/1988,9/1/1988,NA,9/5/1988 45 of 1988,NA,Assented
1988,XL,"The Jamia Millia Islamia Bill, 1988",23/08/1988,9/2/1988,29/08/1988,NA,10/8/1988 58 of 1988,NA,Assented
1989,XXXIX,"The Punjab Pre-Emption (Chandigarh and Delhi Repeal) Bill, 1989",11/8/1988,11/5/1989,6/9/1988,NA,22/05/1989 22 of 1989,NA,Assented
1988,XXV,"The Delhi Rent Control (Amendment) Bill, 1988",13/05/1988,9/5/1988,30/08/1988,NA,10/5/1988 57 of 1988,NA,Assented
1988,XVIII,"The Tamil Nadu Co-operative Societies (Appointment of Special Officers) Amendment Bill, 1988",28/03/1988,4/5/1988,29/03/1988,NA,4/8/1988 23 of 1988,NA,Assented
1988,XVII,"The Tamil Nadu Agricultural Service Co-operative Societies Appointment of Special Officer Amendment Bill, 1988",28/03/1988,4/5/1988,29/03/1988,NA,4/8/1988 22 of 1988,NA,Assented
1988,XVI,"The Tamil Nadu State Legislature (Deligation of Powers) Bill, 1988",28/03/1988,4/5/1988,28/03/1988,NA,4/8/1988 21 of 1988,NA,Assented
1988,XV,"The Raj Ghat Samadhi Amendment Bill, 1988",16/03/1988,5/11/1988,27/04/1988,NA,18/05/1988 30 of 1988,NA,Assented
1988,V,"The Major Port Trusts (Amendment) Bill, 1988",23/02/1988,23/03/1988,3/9/1988,NA,29/03/1988 12 of 1988,NA,Assented
1988,II,"The Delhi Municipal Corporation (Amendment) Bill, 1988",23/02/1988,23/03/1988,3/10/1988,NA,29/03/1988 11 of 1988,NA,Assented
1988,I,"The Delhi Administration (Amendment) Bill, 1988",23/02/1988,22/03/1988,10/3/1988,NA,29/03/1988 10 of 1988,NA,Assented
1987,XXI,"The Equal Remuneration (Amendment) Bill, 1987",5/12/1987,12/9/1987,24/11/1987,NA,16/12/1987 49 of 1987,NA,Assented
1987,XX,"The Atomic Energy (Amendment) Bill, 1987",5/12/1987,27/08/1987,8/3/1987,NA,9/8/1987 29 of 1987,NA,Assented
1987,XXXVIII,"The Cine-Workers and Cinema Theatre Workers (Regulation of Employment) Amendment Bill, 1988",9/11/1987,12/5/1988,1/12/1987,NA,8/12/1988 35 of 1988,NA,Assented
1987,XLII,"The Representation of the People (Third Amendment) Bill, 1987",9/11/1987,23/11/1987,18/11/1987,NA,27/11/1987 40 of 1987,NA,Assented
1987,XLI,"The Metro Railways (Construction of Works) Amendment Bill, 1987",9/11/1987,1/12/1987,11/11/1987,NA,9/12/1987 42 of 1987,NA,Assented
1987,XXXVI,"The All India Council for Technical Education Bill, 1987",31/08/1987,15/12/1987,26/11/1987,NA,23/12/1987 52 of 1987,NA,Assented
1987,XXXV,"The Authorised Translations (Central Laws) Amendment Bill, 1987",31/08/1987,2/3/1988,19/11/1987,NA,31/03/1988 18 of 1988,NA,Assented
1987,XXXIV,"The Warehousing Corporations (Amendment) Bill, 1987",31/08/1987,18/08/1989,17/11/1988,NA,22/10/1989 37 of 1989,NA,Assented
1987,XXXIII,"The Dock Workers (Regulation of Employment) (Amendment) Bill, 1987",31/08/1987,5/9/1988,10/8/1988,NA,1/10/1988 56 of 1988,NA,Assented
1987,XXXII,"The Companies (Amendment) Bill, 1987",31/08/1987,5/12/1988,27/04/1988,NA,24/05/1988 31 of 1988,NA,Assented
1987,XXX,"The Punjab State Legislature (Delegation of Powers) Bill, 1987",13/08/1987,24/08/1987,17/08/1987,NA,27/08/1987 24 of 1987,NA,Assented
1987,XXIX,"The Merchant Shipping (Second Amendment) Bill, 1987",6/8/1987,5/9/1988,10/9/1988,NA,1/10/1988 55 of 1988,NA,Assented
1987,XXVI,"The Representation of the People (Amendment) Bill, 1987",3/8/1987,28/08/1987,21/08/1987,NA,8/9/1987 31 of 1987,NA,Assented
1987,XXIV,"The Navy (Amendment) Bill, 1987",28/07/1987,28/08/1987,4/8/1987,NA,9/9/1987 34 of 1987,NA,Assented
1987,XVII,"The Coconut Development Board (Amendment) Bill, 1987",23/04/1987,30/07/1987,5/5/1987,NA,5/8/1987 21 of 1987,NA,Assented
1987,LI,"The Administrative Tribunals (Amendment) Bill, 1987",12/4/1987,15/12/1987,12/9/1987,NA,22/12/1987 51 of 1987,NA,Assented
1987,X,"The Payment of Gratuity (Amendment) Bill, 1987",18/03/1987,6/8/1987,5/5/1987,NA,12/8/1987 22 of 1987,NA,Assented
1987,XII,"The Jute Packging Materials (Compulsory Use in Packing Commodities) Bill, 1987",17/03/1987,6/5/1987,20/03/1987,NA,9/5/1987 10 of 1987,NA,Assented
1987,XI,"The Delhi Municipal Corporation (Amendment) Bill, 1987",17/03/1987,23/03/1987,18/03/1987,NA,29/03/1987 8 of 1987,NA,Assented
1987,VIII,"The All India Institute of Medical Sciences and the Post Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 1987",11/3/1987,28/03/1987,3/3/1987,NA,8/9/1987 30 of 1987,NA,Assented
1987,XLIX,"The Maternity Benefit (Amendment) Bill, 1988",12/1/1987,21/11/1988,8/11/1988,NA,30/11/1988 61 of 1988,NA,Assented
1986,XLV,"The Khadi and Village Industries Commission (Amendment) Bill, 1987",9/12/1986,11/5/1987,9/3/1987,NA,15/05/1987 12 of 1987,NA,Assented
1986,XLIII,"The Parsi Marriage and Divorce (Amendment) Bill, 1986",24/11/1986,23/02/1988,3/8/1987,NA,25/03/1988 5 of 1988,NA,Assented
1986,XII,"The AdministrativeTribunals (Amendment) Bill, 1986",3/10/1986,17/03/1986,3/11/1986,NA,25/03/1986 19 of 1986,NA,Assented
1986,XXXI,"The Child Labour (Prohibition and Regulation) Bill, 1986",22/08/1986,9/12/1986,5/11/1986,NA,23/12/1986 61 of 1986,NA,Assented
1986,XXIX,"The Dowry Prohibition (Amendment) Bill, 1986",21/08/1986,22/08/1986,22/08/1986,NA,8/9/1986 43 of 1986,NA,Assented
1986,XXX,"The Suppression of Immoral Traffic in Women and Girls (Amendment) Bill, 1986",20/08/1986,22/08/1986,21/08/1986,NA,8/9/1986 44 of 1986,NA,Assented
1986,XXVIII,"The Indecent Representation of Women (Prohibition) Bill, 1986",20/08/1986,12/9/1986,11/12/1986,NA,23/12/1986 60 of 1986,NA,Assented
1986,XXVII,"The Essential Commodities (Amendment) Bill, 1986",24/07/1986,22/08/1986,30/07/1986,NA,8/9/1986 42 of 1986,NA,Assented
1986,XXVI,"The Repealing and Amending Bill, 1986",22/07/1986,28/02/1988,28/07/1986,NA,4/4/1988 19 of 1988,NA,Assented
1986,XXII,"The Mines and Minerals (Regulation and Development) Amendment Bill, 1986",14/05/1986,13/08/1986,24/07/1986,NA,21/08/1986 37 of 1986,NA,Assented
1986,XXI,"The Indian Electricity (Amendment) Bill, 1986",14/05/1986,8/4/1986,22/07/1986,NA,8/12/1986 31 of 1986,NA,Assented
1986,XLIV,"The Labour Welfare Fund Laws (Amendment) Bill, 1987",12/4/1986,5/12/1987,3/9/1987,NA,22/05/1987 15 of 1987,NA,Assented
1986,XIII,"The Inter State Water Disputes (Amendment) Bill, 1986",19/03/1986,31/03/1986,20/03/1986,NA,2/4/1986 20 of 1986,NA,Assented
1986,IX,"The Contract Labour (Regulation and Abolition) Amendment Bill, 1986",25/02/1986,18/03/1986,3/11/1986,NA,25/03/1986 4 of 1986,NA,Assented
1986,V,"The Motor Vehicles (Amendment) Bill, 1986",21/02/1986,3/4/1986,25/02/1986,NA,13/03/1986 9 of 1986,NA,Assented
1986,III,"The Merchant Shipping (Amendment) Bill, 1986",21/02/1986,7/8/1986,23/07/1986,NA,14/08/1986 33 of 1986,NA,Assented
1985,XXVII,"The University Grants Commission (Amendment) Bill, 1985",6/12/1985,17/12/1985,9/12/1985,NA,20/12/1985 70 of 1985,NA,Assented
1985,XXVI,"The International Airports Authority (Amendment) Bill, 1985",4/12/1985,17/12/1985,9/12/1985,NA,20/12/1985 72 of 1985,NA,Assented
1985,XVI,"The Companies (Amendment) Bill, 1985",5/9/1985,17/05/1985,14/05/1985,NA,24/05/1985 35 of 1985,NA,Assented
1985,XXII,"The Delegated Legislation Provisions (Amendment) Bill, 1985",26/08/1985,17/12/1985,29/08/1985,NA,14/01/1986 4 of 1986,NA,Assented
1985,XXI,"The Aurovile (Emergency Provisions) Bill, 1985",14/08/1985,28/08/1985,19/08/1985,NA,9/2/1985 51 of 1985,NA,Assented
1985,XV,"The Payment of Bonus (Amendment) Bill, 1985",5/6/1985,16/05/1985,5/9/1985,NA,22/05/1985 30 of 1985,NA,Assented
1985,XVIII,"The Pondicherry University Bill, 1985",21/05/1985,28/08/1985,30/07/1985,NA,4/9/1985 53 of 1985,NA,Assented
1985,XVII,"The Indira Gandhi National Open University Bill, 1985",21/05/1985,26/08/1985,5/8/1985,NA,2/9/1985 50 of 1985,NA,Assented
1985,IX,"The Requisitioning an Acquisition of Innovable Property (Amendment) Bill, 1985",19/03/1985,28/03/1985,21/03/1985,NA,29/03/1985 20 of 1985,NA,Assented
1985,V,"The Bhopal Gas Leak disaster (Processing of Claims) Bill, 1985",15/03/1985,27/03/1985,18/03/1985,NA,29/03/1985 21 of 1985,NA,Assented
1985,IV,"The Gangtok Municipal Corporation (Amendment) Bill, 1985",18/01/1985,29/01/1985,24/01/1985,NA,16/02/1985 12 of 1985,NA,Assented
1985,III,"The General Insurance Business (Nationalisation) Amendment Bill, 1985",18/01/1985,25/01/1985,23/01/1985,NA,2/9/1985 3 of 1985,NA,Assented
1985,II,"The Sugar Undertaking (Taking Over of Management) Amendment Bill, 1985",18/01/1985,29/01/1985,24/01/1985,NA,16/02/1985 11 of 1985,NA,Assented
1985,I,"The National Capital Region Planning Board Bill, 1985",18/01/1985,NA,23/01/1985,NA,9/2/1985 2 of 85,NA,Assented
1984,XI,"The Employees State Insurance (Amendment) Bill, 1984",5/10/1984,8/1/1984,23/07/1984,NA,8/6/1984 45 of 1984,NA,Assented
1984,XXVII,"The Bonded Labour System (Abolition) Amendment Bill, 1984",29/08/1984,20/12/1985,19/11/1985,NA,24/12/1985 73 of 1985,NA,Assented
1984,XXIV,"The Handlooms (Reservation of Articles for Production) Bill, 1985",29/08/1984,28/03/1985,14/03/1985,NA,29/03/1985 22 of 1985,NA,Assented
1984,XXIII,"The Bonded Labour System (Abolition) Amendment Bill, 1984",29/08/1984,20/12/1985,19/11/1985,NA,24/12/1985 73 of 1985,NA,Assented
1984,XVI,"The Standards of Weights and Measures (Enforcement) Bill, 1985",6/8/1984,29/08/1985,25/07/1985,NA,4/9/1985 54 of 1985,NA,Assented
